id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
520,1994,Peace,Yasser Arafat,Individual,1/3,The Nobel Peace Prize 1994,"""for their efforts to create peace in the Middle East""",557.0,1929-08-24,Cairo,Egypt,Male,N/A,N/A,N/A,2004-11-11,N/A,N/A
521,1994,Peace,Shimon Peres,Individual,1/3,The Nobel Peace Prize 1994,"""for their efforts to create peace in the Middle East""",558.0,1923-08-16,Vishneva,Poland (Belarus),Male,N/A,N/A,N/A,2016-09-28,Tel Aviv,Israel
522,1994,Peace,Yitzhak Rabin,Individual,1/3,The Nobel Peace Prize 1994,"""for their efforts to create peace in the Middle East""",559.0,1922-03-01,Jerusalem,British Mandate of Palestine (Israel),Male,N/A,N/A,N/A,1995-11-04,Tel Aviv,Israel
523,1995,Peace,Joseph Rotblat,Individual,1/2,The Nobel Peace Prize 1995,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",560.0,1908-11-04,Warsaw,Russian Empire (Poland),Male,N/A,N/A,N/A,2005-08-31,London,United Kingdom
524,1995,Peace,Pugwash Conferences on Science and World Affairs,Organization,1/2,The Nobel Peace Prize 1995,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",561.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
525,1996,Peace,Carlos Filipe Ximenes Belo,Individual,1/2,The Nobel Peace Prize 1996,"""for their work towards a just and peaceful solution to the conflict in East Timor""",562.0,1948-02-03,Wailacama,East Timor,Male,N/A,N/A,N/A,N/A,N/A,N/A
526,1996,Peace,José Ramos-Horta,Individual,1/2,The Nobel Peace Prize 1996,"""for their work towards a just and peaceful solution to the conflict in East Timor""",563.0,1949-12-26,Dili,East Timor,Male,N/A,N/A,N/A,N/A,N/A,N/A
527,1997,Peace,International Campaign to Ban Landmines (ICBL),Organization,1/2,The Nobel Peace Prize 1997,"""for their work for the banning and clearing of anti-personnel mines""",564.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
528,1997,Peace,Jody Williams,Individual,1/2,The Nobel Peace Prize 1997,"""for their work for the banning and clearing of anti-personnel mines""",565.0,1950-10-09,"Putney, VT",United States of America,Female,N/A,N/A,N/A,N/A,N/A,N/A
529,1998,Peace,John Hume,Individual,1/2,The Nobel Peace Prize 1998,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",566.0,1937-01-18,Londonderry,Northern Ireland,Male,N/A,N/A,N/A,N/A,N/A,N/A
530,1998,Peace,David Trimble,Individual,1/2,The Nobel Peace Prize 1998,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",567.0,1944-10-15,Belfast,Northern Ireland,Male,N/A,N/A,N/A,N/A,N/A,N/A
531,1999,Peace,Médecins Sans Frontières,Organization,1/1,The Nobel Peace Prize 1999,"""in recognition of the organization's pioneering humanitarian work on several continents""",568.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
532,2000,Peace,Kim Dae-jung,Individual,1/1,The Nobel Peace Prize 2000,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",725.0,1925-12-03,Mokpo,Korea (South Korea),Male,N/A,N/A,N/A,2009-08-18,N/A,N/A
533,2001,Peace,United Nations (U.N.),Organization,1/2,The Nobel Peace Prize 2001,"""for their work for a better organized and more peaceful world""",748.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
534,2001,Peace,Kofi Annan,Individual,1/2,The Nobel Peace Prize 2001,"""for their work for a better organized and more peaceful world""",749.0,1938-04-08,Kumasi,Gold Coast (Ghana),Male,N/A,N/A,N/A,N/A,N/A,N/A
535,2002,Peace,Jimmy Carter,Individual,1/1,The Nobel Peace Prize 2002,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development""",762.0,1924-10-01,"Plains, GA",United States of America,Male,N/A,N/A,N/A,N/A,N/A,N/A
536,2003,Peace,Shirin Ebadi,Individual,1/1,The Nobel Peace Prize 2003,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",773.0,1947-06-21,Hamadan,Iran,Female,N/A,N/A,N/A,N/A,N/A,N/A
537,2004,Peace,Wangari Muta Maathai,Individual,1/1,The Nobel Peace Prize 2004,"""for her contribution to sustainable development, democracy and peace""",783.0,1940-04-01,Nyeri,Kenya,Female,N/A,N/A,N/A,2011-09-25,Nairobi,Kenya
538,2005,Peace,International Atomic Energy Agency (IAEA),Organization,1/2,The Nobel Peace Prize 2005,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",797.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
539,2005,Peace,Mohamed ElBaradei,Individual,1/2,The Nobel Peace Prize 2005,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",798.0,1942-06-17,Cairo,Egypt,Male,N/A,N/A,N/A,N/A,N/A,N/A
540,2006,Peace,Muhammad Yunus,Individual,1/2,The Nobel Peace Prize 2006,"""for their efforts to create economic and social development from below""",809.0,1940-06-28,Chittagong,British India (Bangladesh),Male,N/A,N/A,N/A,N/A,N/A,N/A
541,2006,Peace,Grameen Bank,Organization,1/2,The Nobel Peace Prize 2006,"""for their efforts to create economic and social development from below""",810.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
542,2007,Peace,Intergovernmental Panel on Climate Change (IPCC),Organization,1/2,The Nobel Peace Prize 2007,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",818.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543,2007,Peace,Albert Arnold (Al) Gore Jr.,Individual,1/2,The Nobel Peace Prize 2007,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",819.0,1948-03-31,"Washington, DC",United States of America,Male,N/A,N/A,N/A,N/A,N/A,N/A
544,2008,Peace,Martti Ahtisaari,Individual,1/1,The Nobel Peace Prize 2008,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",833.0,1937-06-23,Viipuri (Vyborg),Finland,Male,N/A,N/A,N/A,N/A,N/A,N/A
545,2009,Peace,Barack H. Obama,Individual,1/1,The Nobel Peace Prize 2009,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",845.0,1961-08-04,"Honolulu, HI",United States of America,Male,N/A,N/A,N/A,N/A,N/A,N/A
546,2010,Peace,Liu Xiaobo,Individual,1/1,The Nobel Peace Prize 2010,"""for his long and non-violent struggle for fundamental human rights in China""",855.0,1955-12-28,N/A,China,Male,N/A,N/A,N/A,N/A,N/A,N/A
547,2011,Peace,Ellen Johnson Sirleaf,Individual,1/3,The Nobel Peace Prize 2011,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",869.0,1938-10-29,Monrovia,Liberia,Female,N/A,N/A,N/A,N/A,N/A,N/A
548,2011,Peace,Leymah Gbowee,Individual,1/3,The Nobel Peace Prize 2011,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",870.0,1972-02-01,Monrovia,Liberia,Female,N/A,N/A,N/A,N/A,N/A,N/A
549,2011,Peace,Tawakkol Karman,Individual,1/3,The Nobel Peace Prize 2011,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work""",871.0,1979-02-07,Ta'izz,Yemen,Female,N/A,N/A,N/A,N/A,N/A,N/A
550,2012,Peace,European Union (EU),Organization,1/1,The Nobel Peace Prize 2012,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",881.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
551,2013,Peace,Organisation for the Prohibition of Chemical Weapons (OPCW),Organization,1/1,The Nobel Peace Prize 2013,"""for its extensive efforts to eliminate chemical weapons""",893.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
552,2014,Peace,Kailash Satyarthi,Individual,1/2,The Nobel Peace Prize 2014,"""for their struggle against the suppression of children and young people and for the right of all children to education""",913.0,1954-01-11,Vidisha,India,Male,N/A,N/A,N/A,N/A,N/A,N/A
553,2014,Peace,Malala Yousafzai,Individual,1/2,The Nobel Peace Prize 2014,"""for their struggle against the suppression of children and young people and for the right of all children to education""",914.0,1997-07-12,Mingora,Pakistan,Female,N/A,N/A,N/A,N/A,N/A,N/A
554,2015,Peace,National Dialogue Quartet,Organization,1/1,The Nobel Peace Prize 2015,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",925.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
555,2016,Peace,Juan Manuel Santos,Individual,1/1,The Nobel Peace Prize 2016,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",934.0,1951-08-10,Bogotá,Colombia,Male,N/A,N/A,N/A,N/A,N/A,N/A
556,2017,Peace,N/A,Organization,N/A,The Nobel Peace Prize 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
557,2018,Peace,N/A,Individual,N/A,The Nobel Peace Prize 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
558,2018,Peace,N/A,Individual,N/A,The Nobel Peace Prize 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
559,2019,Peace,N/A,Individual,N/A,The Nobel Peace Prize 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
560,2020,Peace,N/A,Organization,N/A,The Nobel Peace Prize 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
561,2021,Peace,N/A,Individual,N/A,The Nobel Peace Prize 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
562,2021,Peace,N/A,Individual,N/A,The Nobel Peace Prize 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
563,2022,Peace,N/A,Individual,N/A,The Nobel Peace Prize 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
564,2022,Peace,N/A,Organization,N/A,The Nobel Peace Prize 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
565,2022,Peace,N/A,Organization,N/A,The Nobel Peace Prize 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
566,1901,Physics,Wilhelm Conrad Röntgen,Individual,1/1,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1.0,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,1923-02-10,Munich,Germany
567,1902,Physics,Hendrik Antoon Lorentz,Individual,1/2,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2.0,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,1928-02-04,N/A,Netherlands
568,1902,Physics,Pieter Zeeman,Individual,1/2,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",3.0,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943-10-09,Amsterdam,Netherlands
569,1903,Physics,Antoine Henri Becquerel,Individual,1/2,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",4.0,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,1908-08-25,N/A,France
570,1903,Physics,Pierre Curie,Individual,1/4,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",5.0,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906-04-19,Paris,France
571,1903,Physics,"Marie Curie, née Sklodowska",Individual,1/4,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",6.0,1867-11-07,Warsaw,Russian Empire (Poland),Female,N/A,N/A,N/A,1934-07-04,Sallanches,France
572,1904,Physics,Lord Rayleigh (John William Strutt),Individual,1/1,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",8.0,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,1919-06-30,N/A,United Kingdom
573,1905,Physics,Philipp Eduard Anton von Lenard,Individual,1/1,The Nobel Prize in Physics 1905,"""for his work on cathode rays""",9.0,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany,1947-05-20,Messelhausen,Germany
574,1906,Physics,Joseph John Thomson,Individual,1/1,The Nobel Prize in Physics 1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",10.0,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1940-08-30,Cambridge,United Kingdom
575,1907,Physics,Albert Abraham Michelson,Individual,1/1,The Nobel Prize in Physics 1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",11.0,1852-12-19,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,"Chicago, IL",United States of America,1931-05-09,"Pasadena, CA",United States of America
576,1908,Physics,Gabriel Lippmann,Individual,1/1,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",12.0,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France,1921-07-13,N/A,N/A
577,1909,Physics,Guglielmo Marconi,Individual,1/2,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",13.0,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1937-07-20,Rome,Italy
578,1909,Physics,Karl Ferdinand Braun,Individual,1/2,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",14.0,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)",1918-04-20,"Brooklyn, NY",United States of America
579,1910,Physics,Johannes Diderik van der Waals,Individual,1/1,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids""",15.0,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1923-03-08,Amsterdam,Netherlands
580,1911,Physics,Wilhelm Wien,Individual,1/1,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat""",16.0,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany,1928-08-30,Munich,Germany
581,1912,Physics,Nils Gustaf Dalén,Individual,1/1,The Nobel Prize in Physics 1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",17.0,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden,1937-12-09,Stockholm,Sweden
582,1913,Physics,Heike Kamerlingh Onnes,Individual,1/1,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",18.0,1853-09-21,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands,1926-02-21,Leiden,Netherlands
583,1914,Physics,Max von Laue,Individual,1/1,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals""",19.0,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1960-04-23,Berlin,West Germany (Germany)
584,1915,Physics,Sir William Henry Bragg,Individual,1/2,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",20.0,1862-07-02,Wigton,United Kingdom,Male,University College,London,United Kingdom,1942-03-12,London,United Kingdom
585,1915,Physics,William Lawrence Bragg,Individual,1/2,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",21.0,1890-03-31,Adelaide,Australia,Male,Victoria University,Manchester,United Kingdom,1971-07-01,Ipswich,United Kingdom
586,1917,Physics,Charles Glover Barkla,Individual,1/1,The Nobel Prize in Physics 1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",22.0,1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom,1944-10-23,Edinburgh,Scotland
587,1918,Physics,Max Karl Ernst Ludwig Planck,Individual,1/1,The Nobel Prize in Physics 1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",23.0,1858-04-23,Kiel,Schleswig (Germany),Male,Berlin University,Berlin,Germany,1947-10-04,Göttingen,West Germany (Germany)
588,1919,Physics,Johannes Stark,Individual,1/1,The Nobel Prize in Physics 1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",24.0,1874-04-15,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany,1957-06-21,Traunstein,West Germany (Germany)
589,1920,Physics,Charles Edouard Guillaume,Individual,1/1,The Nobel Prize in Physics 1920,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",25.0,1861-02-15,Fleurier,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1938-06-13,Sèvres,France
590,1921,Physics,Albert Einstein,Individual,1/1,The Nobel Prize in Physics 1921,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",26.0,1879-03-14,Ulm,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1955-04-18,"Princeton, NJ",United States of America
591,1922,Physics,Niels Henrik David Bohr,Individual,1/1,The Nobel Prize in Physics 1922,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",27.0,1885-10-07,Copenhagen,Denmark,Male,Copenhagen University,Copenhagen,Denmark,1962-11-18,Copenhagen,Denmark
592,1923,Physics,Robert Andrews Millikan,Individual,1/1,The Nobel Prize in Physics 1923,"""for his work on the elementary charge of electricity and on the photoelectric effect""",28.0,1868-03-22,"Morrison, IL",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1953-12-19,"San Marino, CA",United States of America
593,1924,Physics,Karl Manne Georg Siegbahn,Individual,1/1,The Nobel Prize in Physics 1924,"""for his discoveries and research in the field of X-ray spectroscopy""",29.0,1886-12-03,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden,1978-09-26,Ängelholm,Sweden
594,1925,Physics,James Franck,Individual,1/2,The Nobel Prize in Physics 1925,"""for their discovery of the laws governing the impact of an electron upon an atom""",30.0,1882-08-26,Hamburg,Germany,Male,Goettingen University,Göttingen,Germany,1964-05-21,Göttingen,West Germany (Germany)
595,1925,Physics,Gustav Ludwig Hertz,Individual,1/2,The Nobel Prize in Physics 1925,"""for their discovery of the laws governing the impact of an electron upon an atom""",31.0,1887-07-22,Hamburg,Germany,Male,Halle University,Halle,Germany,1975-10-30,Berlin,East Germany
596,1926,Physics,Jean Baptiste Perrin,Individual,1/1,The Nobel Prize in Physics 1926,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",32.0,1870-09-30,Lille,France,Male,Sorbonne University,Paris,France,1942-04-17,"New York, NY",United States of America
597,1927,Physics,Arthur Holly Compton,Individual,1/2,The Nobel Prize in Physics 1927,"""for his discovery of the effect named after him""",33.0,1892-09-10,"Wooster, OH",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1962-03-15,"Berkeley, CA",United States of America
598,1927,Physics,Charles Thomson Rees Wilson,Individual,1/2,The Nobel Prize in Physics 1927,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",34.0,1869-02-14,Glencorse,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1959-11-15,Carlops,Scotland
599,1928,Physics,Owen Willans Richardson,Individual,1/1,The Nobel Prize in Physics 1928,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",35.0,1879-04-26,Dewsbury,United Kingdom,Male,London University,London,United Kingdom,1959-02-15,Alton,United Kingdom
600,1929,Physics,Prince Louis-Victor Pierre Raymond de Broglie,Individual,1/1,The Nobel Prize in Physics 1929,"""for his discovery of the wave nature of electrons""",36.0,1892-08-15,Dieppe,France,Male,"Sorbonne University, Institut Henri Poincaré",Paris,France,1987-03-19,Paris,France
601,1930,Physics,Sir Chandrasekhara Venkata Raman,Individual,1/1,The Nobel Prize in Physics 1930,"""for his work on the scattering of light and for the discovery of the effect named after him""",37.0,1888-11-07,Tiruchirappalli,India,Male,Calcutta University,Calcutta,India,1970-11-21,Bangalore,India
602,1932,Physics,Werner Karl Heisenberg,Individual,1/1,The Nobel Prize in Physics 1932,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",38.0,1901-12-05,Würzburg,Germany,Male,Leipzig University,Leipzig,Germany,1976-02-01,Munich,West Germany (Germany)
603,1933,Physics,Erwin Schrödinger,Individual,1/2,The Nobel Prize in Physics 1933,"""for the discovery of new productive forms of atomic theory""",39.0,1887-08-12,Vienna,Austria,Male,Berlin University,Berlin,Germany,1961-01-04,Vienna,Austria
604,1933,Physics,Paul Adrien Maurice Dirac,Individual,1/2,The Nobel Prize in Physics 1933,"""for the discovery of new productive forms of atomic theory""",40.0,1902-08-08,Bristol,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1984-10-20,"Tallahassee, FL",United States of America
605,1935,Physics,James Chadwick,Individual,1/1,The Nobel Prize in Physics 1935,"""for the discovery of the neutron""",41.0,1891-10-20,Manchester,United Kingdom,Male,Liverpool University,Liverpool,United Kingdom,1974-07-24,Cambridge,United Kingdom
606,1936,Physics,Victor Franz Hess,Individual,1/2,The Nobel Prize in Physics 1936,"""for his discovery of cosmic radiation""",42.0,1883-06-24,Peggau,Austria,Male,Innsbruck University,Innsbruck,Austria,1964-12-17,"Mount Verno, NY",United States of America
607,1936,Physics,Carl David Anderson,Individual,1/2,The Nobel Prize in Physics 1936,"""for his discovery of the positron""",43.0,1905-09-03,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1991-01-11,"San Marino, CA",United States of America
608,1937,Physics,Clinton Joseph Davisson,Individual,1/2,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",44.0,1881-10-22,"Bloomington, IL",United States of America,Male,Bell Telephone Laboratories,"New York, NY",United States of America,1958-02-01,"Charlottesville, VA",United States of America
609,1937,Physics,George Paget Thomson,Individual,1/2,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",45.0,1892-05-03,Cambridge,United Kingdom,Male,London University,London,United Kingdom,1975-09-10,Cambridge,United Kingdom
610,1938,Physics,Enrico Fermi,Individual,1/1,The Nobel Prize in Physics 1938,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",46.0,1901-09-29,Rome,Italy,Male,Rome University,Rome,Italy,1954-11-28,"Chicago, IL",United States of America
611,1939,Physics,Ernest Orlando Lawrence,Individual,1/1,The Nobel Prize in Physics 1939,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",47.0,1901-08-08,"Canton, SD",United States of America,Male,University of California,"Berkeley, CA",United States of America,1958-08-27,"Palo Alto, CA",United States of America
612,1943,Physics,Otto Stern,Individual,1/1,The Nobel Prize in Physics 1943,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",48.0,1888-02-17,Sorau (Zory),Germany (Poland),Male,Carnegie Institute of Technology,"Pittsburgh, PA",United States of America,1969-08-17,"Berkeley, CA",United States of America
613,1944,Physics,Isidor Isaac Rabi,Individual,1/1,The Nobel Prize in Physics 1944,"""for his resonance method for recording the magnetic properties of atomic nuclei""",49.0,1898-07-29,Rymanow,Austria-Hungary (Poland),Male,Columbia University,"New York, NY",United States of America,1988-01-11,"New York, NY",United States of America
614,1945,Physics,Wolfgang Pauli,Individual,1/1,The Nobel Prize in Physics 1945,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",50.0,1900-04-25,Vienna,Austria,Male,Princeton University,"Princeton, NJ",United States of America,1958-12-15,Zurich,Switzerland
615,1946,Physics,Percy Williams Bridgman,Individual,1/1,The Nobel Prize in Physics 1946,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",51.0,1882-04-21,"Cambridge, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1961-08-20,"Randolph, NH",United States of America
616,1947,Physics,Sir Edward Victor Appleton,Individual,1/1,The Nobel Prize in Physics 1947,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",52.0,1892-09-06,Bradford,United Kingdom,Male,Department of Scientific and Industrial Research,London,United Kingdom,1965-04-21,Edinburgh,Scotland
617,1948,Physics,Patrick Maynard Stuart Blackett,Individual,1/1,The Nobel Prize in Physics 1948,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",53.0,1897-11-18,London,United Kingdom,Male,Victoria University,Manchester,United Kingdom,1974-07-13,London,United Kingdom
618,1949,Physics,Hideki Yukawa,Individual,1/1,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",54.0,1907-01-23,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981-09-08,Kyoto,Japan
619,1949,Physics,Hideki Yukawa,Individual,1/1,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",54.0,1907-01-23,Tokyo,Japan,Male,Columbia University,"New York, NY",United States of America,1981-09-08,Kyoto,Japan
620,1950,Physics,Cecil Frank Powell,Individual,1/1,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",55.0,1903-12-05,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,1969-08-09,N/A,Italy
621,1951,Physics,Sir John Douglas Cockcroft,Individual,1/2,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",56.0,1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,1967-09-18,Cambridge,United Kingdom
622,1951,Physics,Ernest Thomas Sinton Walton,Individual,1/2,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",57.0,1903-10-06,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,1995-06-25,Belfast,Northern Ireland
623,1952,Physics,Felix Bloch,Individual,1/2,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",58.0,1905-10-23,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,1983-09-10,Zurich,Switzerland
