Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1963,Physiology or Medicine,Alan Lloyd Hodgkin,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1963,376.0,1914-02-05,Banbury,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1998-12-20,Cambridge,United Kingdom
1963,Physiology or Medicine,Andrew Fielding Huxley,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1963,377.0,1917-11-22,Hampstead,United Kingdom,Male,University College,London,United Kingdom,2012-05-30,Grantchester,United Kingdom
1964,Physiology or Medicine,Konrad Bloch,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1964,378.0,1912-01-21,Neisse (Nysa),Germany (Poland),Male,Harvard University,"Cambridge, MA",United States of America,2000-10-15,"Burlington, MA",United States of America
1964,Physiology or Medicine,Feodor Lynen,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1964,379.0,1911-04-06,Munich,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,1979-08-06,Munich,Germany
1965,Physiology or Medicine,François Jacob,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1965,380.0,1920-06-17,Nancy,France,Male,Institut Pasteur,Paris,France,2013-04-19,Paris,France
1965,Physiology or Medicine,André Lwoff,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1965,381.0,1902-05-08,Ainay-le-Château,France,Male,Institut Pasteur,Paris,France,1994-09-30,Paris,France
1965,Physiology or Medicine,Jacques Monod,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1965,382.0,1910-02-09,Paris,France,Male,Institut Pasteur,Paris,France,1976-05-31,Cannes,France
1966,Physiology or Medicine,Peyton Rous,"""for his discovery of tumour-inducing viruses""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1966,383.0,1879-10-05,"Baltimore, MD",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1972-02-16,"New York, NY",United States of America
1966,Physiology or Medicine,Charles Brenton Huggins,"""for his discoveries concerning hormonal treatment of prostatic cancer""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1966,384.0,1901-09-22,Halifax,Canada,Male,"University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",United States of America,1997-01-12,"Chicago, IL",United States of America
1967,Physiology or Medicine,Ragnar Granit,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1967,385.0,1900-10-30,Helsinki,Russian Empire (Finland),Male,Karolinska Institutet,Stockholm,Sweden,1991-03-12,Stockholm,Sweden
1967,Physiology or Medicine,Haldan Keffer Hartline,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1967,386.0,1903-12-22,"Bloomsburg, PA",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1983-03-17,"Fallston, MD",United States of America
1967,Physiology or Medicine,George Wald,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1967,387.0,1906-11-18,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1997-04-12,"Cambridge, MA",United States of America
1968,Physiology or Medicine,Robert W. Holley,"""for their interpretation of the genetic code and its function in protein synthesis""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1968,388.0,1922-01-28,"Urbana, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1993-02-11,"Los Gatos, CA",United States of America
1968,Physiology or Medicine,Har Gobind Khorana,"""for their interpretation of the genetic code and its function in protein synthesis""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1968,389.0,1922-01-09,Raipur,India,Male,University of Wisconsin,"Madison, WI",United States of America,2011-11-09,"Concord, MA",United States of America
1968,Physiology or Medicine,Marshall W. Nirenberg,"""for their interpretation of the genetic code and its function in protein synthesis""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1968,390.0,1927-04-10,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,2010-01-15,"New York, NY",United States of America
1969,Physiology or Medicine,Max Delbrück,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1969,391.0,1906-09-04,Berlin,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1981-03-09,"Pasadena, CA",United States of America
1969,Physiology or Medicine,Alfred D. Hershey,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1969,392.0,1908-12-04,"Owosso, MI",United States of America,Male,Carnegie Institution of Washington,"Long Island, New York, NY",United States of America,1997-05-22,"Syosset, NY",United States of America
1969,Physiology or Medicine,Salvador E. Luria,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1969,393.0,1912-08-13,Torino,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,1991-02-06,"Lexington, MA",United States of America
1970,Physiology or Medicine,Sir Bernard Katz,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1970,394.0,1911-03-26,Leipzig,Germany,Male,University College,London,United Kingdom,2003-04-20,London,United Kingdom
1970,Physiology or Medicine,Ulf von Euler,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1970,395.0,1905-02-07,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,1983-03-09,Stockholm,Sweden
1970,Physiology or Medicine,Julius Axelrod,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1970,396.0,1912-05-30,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,2004-12-29,"Rockville, MD",United States of America
1971,Physiology or Medicine,"Earl W. Sutherland, Jr.","""for his discoveries concerning the mechanisms of the action of hormones""",Individual,1/1,The Nobel Prize in Physiology or Medicine 1971,397.0,1915-11-19,"Burlingame, KS",United States of America,Male,Vanderbilt University,"Nashville, TN",United States of America,1974-03-09,"Miami, FL",United States of America
1972,Physiology or Medicine,Gerald M. Edelman,"""for their discoveries concerning the chemical structure of antibodies""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1972,398.0,1929-07-01,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2014-05-17,"La Jolla, CA",United States of America
1972,Physiology or Medicine,Rodney R. Porter,"""for their discoveries concerning the chemical structure of antibodies""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1972,399.0,1917-10-08,Newton-le-Willows,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1985-09-06,Winchester,United Kingdom
1973,Physiology or Medicine,Karl von Frisch,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1973,400.0,1886-11-20,Vienna,Austria,Male,Zoologisches Institut der Universität München,Munich,Federal Republic of Germany,1982-06-12,Munich,West Germany (Germany)
1973,Physiology or Medicine,Konrad Lorenz,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1973,401.0,1903-11-07,Vienna,Austria,Male,"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Austria,1989-02-27,Vienna,Austria
1973,Physiology or Medicine,Nikolaas Tinbergen,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1973,402.0,1907-04-15,the Hague,Netherlands,Male,University of Oxford,Oxford,United Kingdom,1988-12-21,Oxford,United Kingdom
1974,Physiology or Medicine,Albert Claude,"""for their discoveries concerning the structural and functional organization of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,403.0,1898-08-24,Longlier,Belgium,Male,Université Catholique de Louvain,Louvain,Belgium,1983-05-22,Brussels,Belgium
1974,Physiology or Medicine,Christian de Duve,"""for their discoveries concerning the structural and functional organization of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,404.0,1917-10-02,Thames Ditton,United Kingdom,Male,Rockefeller University,"New York, NY",United States of America,2013-05-04,Nethen,Belgium
1974,Physiology or Medicine,Christian de Duve,"""for their discoveries concerning the structural and functional organization of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,404.0,1917-10-02,Thames Ditton,United Kingdom,Male,Université Catholique de Louvain,Louvain,Belgium,2013-05-04,Nethen,Belgium
1974,Physiology or Medicine,George E. Palade,"""for their discoveries concerning the structural and functional organization of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,405.0,1912-11-19,Iasi,Romania,Male,"Yale University, School of Medicine","New Haven, CT",United States of America,2008-10-07,"Del Mar, CA",United States of America
1975,Physiology or Medicine,David Baltimore,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1975,406.0,1938-03-07,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1975,Physiology or Medicine,Renato Dulbecco,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1975,407.0,1914-02-22,Catanzaro,Italy,Male,Imperial Cancer Research Fund Laboratory,London,United Kingdom,2012-02-19,"La Jolla, CA",United States of America
1975,Physiology or Medicine,Howard Martin Temin,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1975,408.0,1934-12-10,"Philadelphia, PA",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,1994-02-09,"Madison, WI",United States of America
1976,Physiology or Medicine,Baruch S. Blumberg,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1976,409.0,1925-07-28,"New York, NY",United States of America,Male,The Institute for Cancer Research,"Philadelphia, PA",United States of America,2011-04-05,"Moffett Field, CA",United States of America
1976,Physiology or Medicine,D. Carleton Gajdusek,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1976,410.0,1923-09-09,"Yonkers, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,2008-12-12,Tromsø,Norway
1977,Physiology or Medicine,Roger Guillemin,"""for their discoveries concerning the peptide hormone production of the brain""",Individual,1/4,The Nobel Prize in Physiology or Medicine 1977,411.0,1924-01-11,Dijon,France,Male,The Salk Institute,"San Diego, CA",United States of America,,,
1977,Physiology or Medicine,Andrew V. Schally,"""for their discoveries concerning the peptide hormone production of the brain""",Individual,1/4,The Nobel Prize in Physiology or Medicine 1977,412.0,1926-11-30,Wilno (Vilnius),Poland (Lithuania),Male,Veterans Administration Hospital,"New Orleans, LA",United States of America,,,
1977,Physiology or Medicine,Rosalyn Yalow,"""for the development of radioimmunoassays of peptide hormones""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1977,413.0,1921-07-19,"New York, NY",United States of America,Female,Veterans Administration Hospital,"Bronx, NY",United States of America,2011-05-30,"New York, NY",United States of America
1978,Physiology or Medicine,Werner Arber,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1978,414.0,1929-06-03,Gränichen,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,,,
1978,Physiology or Medicine,Daniel Nathans,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1978,415.0,1928-10-30,"Wilmington, DE",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,1999-11-16,"Baltimore, MD",United States of America
1978,Physiology or Medicine,Hamilton O. Smith,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1978,416.0,1931-08-23,"New York, NY",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,,,
1979,Physiology or Medicine,Allan M. Cormack,"""for the development of computer assisted tomography""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1979,417.0,1924-02-23,Johannesburg,South Africa,Male,Tufts University,"Medford, MA",United States of America,1998-05-07,"Winchester, MA",United States of America
1979,Physiology or Medicine,Godfrey N. Hounsfield,"""for the development of computer assisted tomography""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1979,418.0,1919-08-28,Newark,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom,2004-08-12,Kingston upon Thames,United Kingdom
1980,Physiology or Medicine,Baruj Benacerraf,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1980,419.0,1920-10-29,Caracas,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America,2011-08-02,"Boston, MA",United States of America
1980,Physiology or Medicine,Jean Dausset,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1980,420.0,1916-10-19,Toulouse,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,2009-06-06,"Palma, Majorca",Spain
1980,Physiology or Medicine,George D. Snell,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1980,421.0,1903-12-19,"Bradford, MA",United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America,1996-06-06,"Bar Harbor, ME",United States of America
1981,Physiology or Medicine,Roger W. Sperry,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1981,422.0,1913-08-20,"Hartford, CT",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994-04-17,"Pasadena, CA",United States of America
1981,Physiology or Medicine,David H. Hubel,"""for their discoveries concerning information processing in the visual system""",Individual,1/4,The Nobel Prize in Physiology or Medicine 1981,423.0,1926-02-27,"Windsor, ON",Canada,Male,Harvard Medical School,"Boston, MA",United States of America,2013-09-22,"Lincoln, MA",United States of America
1981,Physiology or Medicine,Torsten N. Wiesel,"""for their discoveries concerning information processing in the visual system""",Individual,1/4,The Nobel Prize in Physiology or Medicine 1981,424.0,1924-06-03,Uppsala,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America,,,
1982,Physiology or Medicine,Sune K. Bergström,"""for their discoveries concerning prostaglandins and related biologically active substances""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1982,425.0,1916-01-10,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,2004-08-15,Stockholm,Sweden
1982,Physiology or Medicine,Bengt I. Samuelsson,"""for their discoveries concerning prostaglandins and related biologically active substances""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1982,426.0,1934-05-21,Halmstad,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,,,
1982,Physiology or Medicine,John R. Vane,"""for their discoveries concerning prostaglandins and related biologically active substances""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1982,427.0,1927-03-29,Tardebigg,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,2004-11-19,Farnborough,United Kingdom
1983,Physiology or Medicine,Barbara McClintock,"""for her discovery of mobile genetic elements""",Individual,1/1,The Nobel Prize in Physiology or Medicine 1983,428.0,1902-06-16,"Hartford, CT",United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,1992-09-02,"Huntington, NY",United States of America
1984,Physiology or Medicine,Niels K. Jerne,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1984,429.0,1911-12-23,London,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,1994-10-07,Castillon-du-Gard,France
1984,Physiology or Medicine,Georges J.F. Köhler,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1984,430.0,1946-04-17,Munich,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,1995-03-01,Freiburg im Breisgau,Germany
1984,Physiology or Medicine,César Milstein,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1984,431.0,1927-10-08,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-03-24,Cambridge,United Kingdom
1985,Physiology or Medicine,Michael S. Brown,"""for their discoveries concerning the regulation of cholesterol metabolism""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1985,432.0,1941-04-13,"New York, NY",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1985,Physiology or Medicine,Joseph L. Goldstein,"""for their discoveries concerning the regulation of cholesterol metabolism""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1985,433.0,1940-04-18,"Sumter, SC",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1986,Physiology or Medicine,Stanley Cohen,"""for their discoveries of growth factors""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1986,434.0,1922-11-17,"Brooklyn, NY",United States of America,Male,Vanderbilt University School of Medicine,"Nashville, TN",United States of America,,,
1986,Physiology or Medicine,Rita Levi-Montalcini,"""for their discoveries of growth factors""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1986,435.0,1909-04-22,Turin,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,2012-12-30,Rome,Italy
1987,Physiology or Medicine,Susumu Tonegawa,"""for his discovery of the genetic principle for generation of antibody diversity""",Individual,1/1,The Nobel Prize in Physiology or Medicine 1987,436.0,1939-09-06,Nagoya,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1988,Physiology or Medicine,Sir James W. Black,"""for their discoveries of important principles for drug treatment""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1988,437.0,1924-06-14,Uddingston,Scotland,Male,"London University, King's College Hospital Medical School",London,United Kingdom,2010-03-21,,
1988,Physiology or Medicine,Gertrude B. Elion,"""for their discoveries of important principles for drug treatment""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1988,438.0,1918-01-23,"New York, NY",United States of America,Female,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,1999-02-21,"Chapel Hill, NC",United States of America
1988,Physiology or Medicine,George H. Hitchings,"""for their discoveries of important principles for drug treatment""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1988,439.0,1905-04-18,"Hoquiam, WA",United States of America,Male,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,1998-02-27,"Chapel Hill, NC",United States of America
1989,Physiology or Medicine,J. Michael Bishop,"""for their discovery of the cellular origin of retroviral oncogenes""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1989,440.0,1936-02-22,"York, PA",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,,,
1989,Physiology or Medicine,Harold E. Varmus,"""for their discovery of the cellular origin of retroviral oncogenes""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1989,441.0,1939-12-18,"Oceanside, NY",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,,,
1990,Physiology or Medicine,Joseph E. Murray,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1990,442.0,1919-04-01,"Milford, MA",United States of America,Male,Brigham and Women's Hospital,"Boston, MA",United States of America,2012-11-26,"Boston, MA",United States of America
1990,Physiology or Medicine,E. Donnall Thomas,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1990,443.0,1920-03-15,"Mart, TX",United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America,2012-10-20,"Seattle, WA",United States of America
1991,Physiology or Medicine,Erwin Neher,"""for their discoveries concerning the function of single ion channels in cells""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1991,444.0,1944-03-20,Landsberg,Germany,Male,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Federal Republic of Germany,,,
1991,Physiology or Medicine,Bert Sakmann,"""for their discoveries concerning the function of single ion channels in cells""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1991,445.0,1942-06-12,Stuttgart,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,,,
1992,Physiology or Medicine,Edmond H. Fischer,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1992,446.0,1920-04-06,Shanghai,China,Male,University of Washington,"Seattle, WA",United States of America,,,
1992,Physiology or Medicine,Edwin G. Krebs,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1992,447.0,1918-06-06,"Lansing, IA",United States of America,Male,University of Washington,"Seattle, WA",United States of America,2009-12-21,"Seattle, WA",United States of America
1993,Physiology or Medicine,Richard J. Roberts,"""for their discoveries of split genes""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1993,448.0,1943-09-06,Derby,United Kingdom,Male,New England Biolabs,"Beverly, MA",United States of America,,,
1993,Physiology or Medicine,Phillip A. Sharp,"""for their discoveries of split genes""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1993,449.0,1944-06-06,"Falmouth, KY",United States of America,Male,"Massachusetts Institute of Technology (MIT), Center for Cancer Research","Cambridge, MA",United States of America,,,
1994,Physiology or Medicine,Alfred G. Gilman,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1994,450.0,1941-07-01,"New Haven, CT",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,2015-12-23,"Dallas, TX",United States of America
1994,Physiology or Medicine,Martin Rodbell,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1994,451.0,1925-12-01,"Baltimore, MD",United States of America,Male,National Institute of Environmental Health Sciences,"Research Triangle Park, NC",United States of America,1998-12-07,"Chapel Hill, NC",United States of America
1995,Physiology or Medicine,Edward B. Lewis,"""for their discoveries concerning the genetic control of early embryonic development""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1995,452.0,1918-05-20,"Wilkes-Barre, PA",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,2004-07-21,"Pasadena, CA",United States of America
1995,Physiology or Medicine,Christiane Nüsslein-Volhard,"""for their discoveries concerning the genetic control of early embryonic development""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1995,453.0,1942-10-20,Magdeburg,Germany,Female,Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Federal Republic of Germany,,,
1995,Physiology or Medicine,Eric F. Wieschaus,"""for their discoveries concerning the genetic control of early embryonic development""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1995,454.0,1947-06-08,"South Bend, IN",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,,,
1996,Physiology or Medicine,Peter C. Doherty,"""for their discoveries concerning the specificity of the cell mediated immune defence""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1996,455.0,1940-10-15,Brisbane,Australia,Male,St. Jude Children's Research Hospital,"Memphis, TN",United States of America,,,
1996,Physiology or Medicine,Rolf M. Zinkernagel,"""for their discoveries concerning the specificity of the cell mediated immune defence""",Individual,1/2,The Nobel Prize in Physiology or Medicine 1996,456.0,1944-01-06,Basel,Switzerland,Male,"University of Zurich, Institute of Experimental Immunology",Zurich,Switzerland,,,
1997,Physiology or Medicine,Stanley B. Prusiner,"""for his discovery of Prions - a new biological principle of infection""",Individual,1/1,The Nobel Prize in Physiology or Medicine 1997,457.0,1942-05-28,"Des Moines, IA",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,,,
1998,Physiology or Medicine,Robert F. Furchgott,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1998,458.0,1916-06-04,"Charleston, SC",United States of America,Male,SUNY Health Science Center,"Brooklyn, NY",United States of America,2009-05-19,"Seattle, WA",United States of America
1998,Physiology or Medicine,Louis J. Ignarro,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1998,459.0,1941-05-31,"Brooklyn, NY",United States of America,Male,University of California School of Medicine,"Los Angeles, CA",United States of America,,,
1998,Physiology or Medicine,Ferid Murad,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",Individual,1/3,The Nobel Prize in Physiology or Medicine 1998,460.0,1936-09-14,"Whiting, IN",United States of America,Male,University of Texas Medical School at Houston,"Houston, TX",United States of America,,,
1999,Physiology or Medicine,Günter Blobel,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Individual,1/1,The Nobel Prize in Physiology or Medicine 1999,461.0,1936-05-21,Waltersdorf (Niegoslawice),Germany (Poland),Male,Rockefeller University,"New York, NY",United States of America,,,
1999,Physiology or Medicine,Günter Blobel,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Individual,1/1,The Nobel Prize in Physiology or Medicine 1999,461.0,1936-05-21,Waltersdorf (Niegoslawice),Germany (Poland),Male,Howard Hughes Medical Institute,,,,,
2000,Physiology or Medicine,Arvid Carlsson,"""for their discoveries concerning signal transduction in the nervous system""",Individual,1/3,The Nobel Prize in Physiology or Medicine 2000,722.0,1923-01-25,Uppsala,Sweden,Male,Göteborg University,Gothenburg,Sweden,,,
2000,Physiology or Medicine,Paul Greengard,"""for their discoveries concerning signal transduction in the nervous system""",Individual,1/3,The Nobel Prize in Physiology or Medicine 2000,723.0,1925-12-11,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,,,
2000,Physiology or Medicine,Eric R. Kandel,"""for their discoveries concerning signal transduction in the nervous system""",Individual,1/3,The Nobel Prize in Physiology or Medicine 2000,724.0,1929-11-07,Vienna,Austria,Male,Columbia University,"New York, NY",United States of America,,,
2001,Physiology or Medicine,Leland H. Hartwell,"""for their discoveries of key regulators of the cell cycle""",Individual,1/3,The Nobel Prize in Physiology or Medicine 2001,735.0,1939-10-30,"Los Angeles, CA",United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America,,,
2001,Physiology or Medicine,Tim Hunt,"""for their discoveries of key regulators of the cell cycle""",Individual,1/3,The Nobel Prize in Physiology or Medicine 2001,736.0,1943-02-19,Neston,United Kingdom,Male,Imperial Cancer Research Fund,London,United Kingdom,,,
